street;street_type;lat;lon;named_after_person;annotation
Светлая улица;улица;55.0538766;82.9509818;False;Светлая улица — обычный городской топоним.
Планировочная улица;жилая улица;54.9954971;82.8800796;False;Планировочная улица — обычный городской топоним.
Хитровская улица;ул. общегородского значения;54.9916884;82.9919055;False;Хитровская улица — обычный городской топоним.
Родниковая улица;жилая улица;54.9852595;83.0113312;False;Родниковая улица — обычный городской топоним.
Выборная улица;улица;55.0078203;83.0558805;False;Выборная улица — обычный городской топоним.
Технологический проезд;грунтовая дорога;55.0261098;83.0349586;False;Технологический проезд — обычный городской топоним.
улица Связистов;ул. общегородского значения;54.9616652;82.8415023;False;улица Связистов — обычный городской топоним.
Волховская улица;ул. общегородского значения;54.9699614;82.8415138;False;Волховская улица — обычный городской топоним.
Оборонная улица;ул. районного значения;54.9749762;82.8424936;False;Оборонная улица — обычный городской топоним.
улица 9-й Гвардейской Дивизии;ул. районного значения;54.9677531;82.8494479;False;улица 9-й Гвардейской Дивизии — обычный городской топоним.
Колхидская улица;жилая улица;54.9908868;82.8157828;False;Колхидская улица — обычный городской топоним.
улица Бородина;ул. общегородского значения;54.9367994;82.86934;False;улица Бородина — обычный городской топоним.
улица Петровского;жилая улица;54.9315132;82.8659251;False;улица Петровского — обычный городской топоним.
улица Аникина;ул. районного значения;54.9664609;82.9500797;False;улица Аникина — обычный городской топоним.
Карьермочищенская улица;улица;55.1257744;82.9172493;False;Карьермочищенская улица — обычный городской топоним.
Русская улица;магистраль;54.8464373;83.0621359;False;Русская улица — обычный городской топоним.
улица Лесная Поляна;жилая улица;55.1383758;82.8857268;False;улица Лесная Поляна — обычный городской топоним.
Владимировский спуск;улица;55.0336476;82.8901724;False;Владимировский спуск — обычный городской топоним.
1-я Механическая улица;жилая улица;54.9642052;83.0532886;False;1-я Механическая улица — обычный городской топоним.
3-я Механическая улица;жилая улица;54.9671151;83.0455642;False;3-я Механическая улица — обычный городской топоним.
улица Танкистов;жилая улица;54.9757544;82.831918;False;улица Танкистов — обычный городской топоним.
Днепрогэсовская улица;ул. районного значения;54.9931441;82.982281;False;Днепрогэсовская улица — обычный городской топоним.
улица Демьяна Бедного;жилая улица;55.0485647;82.9361169;False;улица Демьяна Бедного — обычный городской топоним.
Полевая улица;жилая улица;54.8665581;83.0972943;False;Полевая улица — обычный городской топоним.
Чернышевский спуск;жилая улица;55.0275151;82.8950013;False;Чернышевский спуск — обычный городской топоним.
Новоморская улица;ул. районного значения;54.8520866;82.9791254;False;Новоморская улица — обычный городской топоним.
Софийская улица;ул. общегородского значения;54.8388602;82.9298726;False;Софийская улица — обычный городской топоним.
Ветлужская улица;ул. районного значения;54.8544189;82.9718071;False;Ветлужская улица — обычный городской топоним.
Школьная улица;ул. районного значения;54.8174518;82.8509214;False;Школьная улица — обычный городской топоним.
Панельная улица;жилая улица;54.8137737;82.8413539;False;Панельная улица — обычный городской топоним.
улица 50 лет Октября;жилая улица;54.8178452;82.8475693;False;улица 50 лет Октября — обычный городской топоним.
Молодёжная улица;жилая улица;54.8243245;82.8592613;False;Молодёжная улица — обычный городской топоним.
улица Вахтангова;жилая улица;54.852149;83.0488338;False;улица Вахтангова — обычный городской топоним.
улица Белоусова;жилая улица;54.8529529;83.0472256;False;улица Белоусова — обычный городской топоним.
Закарпатская улица;жилая улица;54.8522037;83.0471685;False;Закарпатская улица — обычный городской топоним.
Иноземная улица;жилая улица;54.8524707;83.0492384;False;Иноземная улица — обычный городской топоним.
улица Тружеников;жилая улица;54.8461893;83.0426756;False;улица Тружеников — обычный городской топоним.
Золоторожская улица;жилая улица;54.8503277;83.0487156;False;Золоторожская улица — обычный городской топоним.
улица Гидростроителей;проезд;54.8479764;83.0444397;False;улица Гидростроителей — обычный городской топоним.
